LAMINAS,VALOR ML (R$),QTD FLS
2000,1430.0,646
3000,1605.0,903
4000,1760.0,1161
5000,1940.0,1419
6000,2100.0,1677
7000,2264.5,1935
8000,2440.0,2193
9000,2596.5,2451
10000,2765.0,2709
11000,2915.0,2962
12000,3060.0,3216
13000,3224.0,3470
14000,3374.0,3724
15000,3525.0,3978
16000,3680.0,5750
