LAMINAS,VALOR ML (R$),QTD FLS
8000,1430.00,646
12000,1605.00,903
16000,1760.00,1161
20000,1940.00,1419
24000,2100.00,1677
28000,2264.50,1935
32000,2440.00,2193
36000,2596.50,2451
40000,2765.00,2709
44000,2915.00,2962
48000,3060.00,3216
52000,3224.00,3470
56000,3374.00,3724
60000,3525.00,3978
64000,3680.00,5750
