LAMINAS,VALOR ML (R$),QTD FLS
4000,1000.0,646
6000,1605.0,903
8000,1760.0,1161
10000,1940.0,1419
12000,2100.0,1677
14000,2264.5,1935
16000,2440.0,2193
18000,2596.5,2451
20000,2765.0,2709
22000,2915.0,2962
24000,3060.0,3216
26000,3224.0,3470
28000,3374.0,3724
30000,3525.0,3978
32000,3680.0,5750
