LAMINAS,VALOR ML,QTD FLS
8.000,"R$ 1.430,00",646
12.000,"R$ 1.605,00",903
16.000,"R$ 1.760,00",1161
20.000,"R$ 1.940,00",1419
24.000,"R$ 2.100,00",1677
28.000,"R$ 2.264,50",1935
32.000,"R$ 2.440,00",2193
36.000,"R$ 2.596,50",2451
40.000,"R$ 2.765,00",2709
44.000,"R$ 2.915,00",2962
48.000,"R$ 3.060,00",3216
52.000,"R$ 3.224,00",3470
56.000,"R$ 3.374,00",3724
60.000,"R$ 3.525,00",3978
64.000,"R$ 3.680,00",5750
