LAMINAS,VALOR ML (R$),QTD FLS
4000,1430.00,646
6000,1605.00,903
8000,1760.00,1161
10000,1940.00,1419
12000,2100.00,1677
14000,2264.50,1935
16000,2440.00,2193
18000,2596.50,2451
20000,2765.00,2709
22000,2915.00,2962
24000,3060.00,3216
26000,3224.00,3470
28000,3374.00,3724
30000,3525.00,3978
32000,3680.00,5750
