LAMINAS,VALOR ML (R$),QTD FLS
2000,1430.00,646
3000,1605.00,903
4000,1760.00,1161
5000,1940.00,1419
6000,2100.00,1677
7000,2264.50,1935
8000,2440.00,2193
9000,2596.50,2451
10000,2765.00,2709
11000,2915.00,2962
12000,3060.00,3216
13000,3224.00,3470
14000,3374.00,3724
15000,3525.00,3978
16000,3680.00,5750
