LAMINAS,VALOR ML,QTD FLS
4.000,"R$ 1.430,00",646
6.000,"R$ 1.605,00",903
8.000,"R$ 1.760,00",1161
10.000,"R$ 1.940,00",1419
12.000,"R$ 2.100,00",1677
14.000,"R$ 2.264,50",1935
16.000,"R$ 2.440,00",2193
18.000,"R$ 2.596,50",2451
20.000,"R$ 2.765,00",2709
22.000,"R$ 2.915,00",2962
24.000,"R$ 3.060,00",3216
26.000,"R$ 3.224,00",3470
28.000,"R$ 3.374,00",3724
30.000,"R$ 3.525,00",3978
32.000,"R$ 3.680,00",5750
